文件	增长	通胀	货币政策	市场
19990330 FOMC Transcript_Password_Removed	"格林斯潘：
    GB和几乎所有模型都低估了增长、高估了通胀，其关键是这些模型都忽略了生产率的加速。在1994年底以来，生产率的加速是很清楚的事实。现在几乎所有的证券分析师都在预测更高的盈利增速，当然，这些预期有向上的偏好，但是在1994年底以来，这个盈利增速预测系统性的上升了3个百分点。
    重要的问题是，生产率还会继续这个速度进步吗？很有可能尚未结束。从坊间消息看，Anecdotally, people we speak to in businesses such as computers, software, telecommunications, and obviously the Internet all say that the backlog of potential profit-making investments is still rising. That is what the security analysts are saying.
    所有人都担心当前的制造业疲弱，我认为制造业活动将会回升，Chicago PMI有回升迹象。

（两个强烈感觉：第一是格林斯潘一直在试图抵制偏鹰，这说明有许多委员偏鹰，而格林斯潘偏鸽；第二是格林斯潘强烈的相信生产率进步，而且这个进步尚未结束）"	"格林斯潘：
    当前没有任何价格加速上升的迹象。Chicago PMI中价格分享的上升是因为油价上升（3月份上涨的厉害）。不过油价对美国的冲击已经不如历史了。
   我认为PCE更好一些，权重更合理。"	"格林斯潘：
    当FOMC未来调整利率时，很有可能是加息而非降息，但当前通胀实际上是0，生产率加速尚未结束，我相信我们将会看到价格下降。
    我有一些倾向于asymmetry toward tightening, 但今天不太想这样。We do have some time and flexibility.
    我们应该remaining neutral on symmetry."	
19990330 FOMC Transcript_Password_Removed				
19990401 BCA, The Bank Credit Analyst THE OUTLOOK FOR CORPORATE PROFITS	"在年初时，美国内需较强，但全球需求较弱，到现在看，是美国稳住了，而全球有回升迹象。
    美国增长虽然从1998Q4有所放缓，但仍然高于trend增速，没有明显的放缓迹象。一方面，NAMP明显回升，另一方面，居民部门保持强劲。Beige Book汇报的情况也很乐观。
    欧洲地区的增长在过去几个月不断下修，出口疲弱恶化了商业信心，未来居民信心也可能走弱，这也意味着ECB将继续宽松。
    总体来看，全球政策仍将继续宽松。美国需求在1999H2将再度走弱（为啥？？），届时全球其他经济体将更艰难，现在断言全球经济已经触底回升还言之过早。当前CRB原材料价格还在低位（。。。然后好像四月份就暴涨了）

[股市盈利专题]
    美股盈利增速长期当中是6%，一般来自增长，一般来自通胀。当前市场预期盈利增长比历史水平要高，这不合理。1990s以来的超出趋势的盈利增速有暂时性因素。
    如果是研究盈利与经济周期的关系，那么最好的指标是EBITA，因为它受到sales volumes, selling prices, unit costs的影响。EBITD margins与Real GDP growth是亦步亦趋的。
    过去几年最奇怪的是，美国企业的盈利增速是走弱的（确实如此，从当时图上来看，盈利增速是在下降的），但企业投资却在上升。1998年的盈利增速的走弱从行业上看是极其广泛的，不仅仅是源于石油价格下降和GM罢工事件。（然后还讨论过海外盈利问题）。（这真是奇怪，而且在对应格林斯潘的草根信息，这个就很奇怪，为啥宏观盈利增速在下降，但微观盈利预期却上升？？）"	"1998年的美国增长强，但通胀却不高，这源于全球通缩背景，油价的下跌。
    亚洲地区所输出的通缩似乎有减弱迹象，亚洲经济在企稳。"	"    尽管全球通胀很难上升，但美国通胀可能温和上升，这会促使联储加息。
    当前货币增速强，股市上涨，美国内需强劲，这都对应着宽松的流动性。"	"我们不再看空债券，从低配转为中性配置债券。当前美国内需持续向上（NAPM的回升是一个确定性的信号），全球经济有企稳迹象。联储在1998年的降息是panic response，当前6m收益率显示市场没有price in任何加息预期，一旦price in的话，收益率还有不少上升空间，因此等等看。但如果收益率上涨到6%，那将是一个major buying oppotunity.
    股市继续谨慎。在mediocre earning growth的情况下，股市面临加息的威胁。股市的breadth继续恶化——当前引领大盘的是蓝筹股，尽管股市指数屡创新高。股市面临着盈利走弱和加息双重压力。
    当前M&A活动热烈，其实居民部门流入股市的资金有限，企业部门是增量资金关键。企业部门的financial deficit在1994年以后趋势性上升，当前已经在历史上处于较高水平，企业回购股票，在1995年以后市场上的股票实际上是下降的。"
19990401 PIMCO Kosovo Forever _ PIMCO Gross	"我过去几年一直预测美国股市将在未来3-5年以8-9%的增速增速，这个预测也不算差。由于利率和通胀的下降，股市年均回报是20-30%，但向前看，盈利所能支撑的增速能有8-9%就不错了。
    股市和债市内在的联系一起，股市是由当前利率来financed的，当通胀主导时，两者常常通方向变动。因此，债券投资者也应当对股市有观点，特别是在1999年，极端的和波动的股票价格对于居民消费和经济增长有影响。
    当前的理论是生产率进步，格林斯潘也反复说这个观点。但关键是，估值应该给到多高？当前互联网企业估值已经比所有上市的汽车、化工、食品、航空企业都贵，最贵的2家企业比Russon 2000都贵 ；那些大企业都没有盈利；美国股市市值比其他所有国家市值都高。当然当前的美国经济是全球经济的典范。There certainly should be a premium for U.S. stocks because our economy is the envy of the world as we approach the 21st century. 但问题依然是：应该给多少估值？要知道，仅仅是十年前，Japan was the envy of the world，而当时它们的股市正处于定点。长期当中，large-cap and internet stocks会让投资者失望。"			
19990402 GS UEA Medicare Still the Most Intractable Entitlement Problem	"3月份NAPM强劲回升。2月建筑活动极强。
    payroll的走弱主要是零售和建筑业，应该是跟天气有关；失业率回落至4.2%的周期低点，首申也继续是低位。
    过去一段时期的强劲增长并没有显著提升盈利，这跟全球通缩环境有关。"	AHE增速0.2%很温和，比去年同期是3.6%抵得过。	3月底FOMC继续neutral，符合预期。下一次是5.18，联储会观察增长是否如他们所期望的那样回落，以及工资是否如期保持平稳。	
19990402 JPM_Global_Data_Watch_Ce_1999-04-02_19990402	"ECB和BOE下周可能ease policy. 日本增长不佳，其他亚洲国家则在回升。
    ECB在过去3个月按兵不动，很明显是希望在中期保持货币稳定，但当前德国、法国和意大利的商业信息持续下降，已经很明显的需要ECB宽松了。
    最新美国企业盈利数据显示nonf corp profit margins继续下行。盈利增速的方向是美国1999年前景的关键。"			
19990409 GS UEA Ample Capacity Limits Inflation Risk	"[我们的观点发生变化]居民消费依然强劲，chain-store receipts继续大幅上升。我们上修GDP增速。

（这一段很有趣。企业的“非理性”的投资行为是1999年诸多超预期的一个重要来源。在盈利持续走弱的情况下，企业却逆势增加投资，这导致两点：第一是经济好，就业好。第二是通胀却不高，因为profit margin下降，物价没有上升。这很好的导致了比较好的宏观组合，就是高增长、低通胀。但问题是，企业的自发投资导致企业资产负债表的恶化、企业盈利未来的大幅走弱，2002年的企业收缩，就是1997-1999年的反向螺旋。）"	最近几年通胀在下降，这对于金融市场的影响是至关重要的。有两个原因：1.失业率走低和工资上升的关系继续保持，但资本利用率低，企业被迫减少profit margin，导致物价没有明显上升。2.生产率上升。因此，高工资没有产生所谓wage-price spiral.	这么强的增长，联储在2000年初也很难降息了。	最近ECB降息，美国债券收益率下降，股票上升。
19990416 GS UEA Modest Factory Upturn Could Quickly Absorb Slack	美国依然是增长强，且没有通胀迹象。最新的零售销售上修使得一季度的零售实际增长录得史上最高值。居民住房建设依然和很强。不过联储的工业活动数据仍然尚显疲弱。			
19990423 GS UEA  The Uphill Road for Profits	"盈利的四个指标：SP500 Reported EPS, Operating EPS; Reported/Adjusted After-tax NIPA Profits.
    1998年的企业盈利并不好，我们认为1999年也难有明显起色。这是因为1998年的盈利走弱有结构性因素，较低的失业率推升工资，但headline cpi上升不多，企业定价权不足，profit margin下降；与此同时，生产率进步有限。1999年也会继续如此，CPI广泛回升的可能性有限。我们预期美国企业部门盈利在1999年是0增长——1998年是下降的。
    有一个重要特征，那就是企业盈利与GDP名字走势是高度同步的。
    不过，一季度的SP500盈利前景倒不错，我们的策略组预测operating earnings for SP500整体上在1999年上升7%。sp500更加集中于制造业，会受益于全球生产率进步。（问题，后来盈利实际走势如何？原因是什么？）"		联储委员释放鹰派言论，引发市场关注。	
19990423 JPM_Global_Data_Watch_An_1999-04-23_19990423	欧洲的survey开始转头向上。拉美的领头羊墨西哥、智利的经济开始触底回升。			
19990430 GS UEA A Passive Fed Implies More Risk for the Bond Market	"（我是很受这个FCI的震撼，在1999年的real time FCI竟然是1991年底的高度刺激性的水平）
    1季度GDP数据出炉，增长很强，但同时工资增速却放缓。真实GDP增速年化4.5%，比市场预期高了很多，内需广泛的很强。
    最新的前瞻性指标也显示增长会继续较强。耐用品订单、核心资本品订单都在上升。虽然工业生产数据还不强，但估计很快跟上。"	ECI比较温和，可能让联储在5月份FOMC继续保持对称性政策。	"当前联储采取了被动反应式的政策取向。
    这意味着，如果经济最终自动放缓，那么债券收益率将会逐步走低——我们暂时也是个看法。如果经济最终走向过热，那么债券收益率将会升高。The risk/reward is not symmetric. A passive Fed poses a big risk for the bond market. "	"The comments of numerous Fed officials confirm that the FOMC is now in a reactive mode with respect to monetary policy…  This can be seen most clearly in the unwillingness of Federal Reserve officials to adopt an asymmetric directive biased toward tightening.要知道，当前增长强，而且事后来看，1998年的最后一次降息是不必要的，在这种背景之下，联储仍然不愿意释放可能加息的倾向。
   They are comfortable waiting for inflationary pressures to arise before tightening."
19990430 JPM_Global_Data_Watch_Cy_1999-04-30_19990430	全球数据转好，Gobal optimism surges. 			
19990501 BCA, The Bank Credit Analyst HAS THE LONG-RUN DOWNTREND IN BOND YIELDS ENDED	"[经济周期确实在回升]
    最近的诸多迹象表明，全球经济周期在回升。当前虽然还有很多对于复苏可持续性的但有声音，但综合来看，全球经济周期在回升，例如我们构建的除美国以外的LEI在明确回升。我们认为确实在复苏，虽然复苏很脆弱。
    股市上涨将进一步支持经济，并且价格上涨可能蔓延到房地产市场等其他市场。这将进一步推动信贷增速上升，导致联储最终紧缩。

[经济周期不会消失]
    关于美国供给端进步所导致的a new paradigm被过度强调了。经济周期并没有消亡，这样的经济增速是不可持续的。The business cycle is dead; long live the new paradigm! The idea that strong economic growth inevitably leads to higher inflation has been discredited by the performance of the U.S. economy in recent years. Apparently, even the Fed is wondering whether to scrap the traditional economic models that have guided monetary policy during the past 50 years. There is growing belief that the U.S. has entered a brave new world of sustained low inflation, and equity investors have surmised that with the battle now won, the Fed will not need to end the party by removing the punch bowl. (跟现在有点像，就是结构性的看法转变最终影响了联储）
    确实，当前的扩张非常久。实际上，如果没有海湾战争的话，1990-91年的衰退可能都可以避免。理论上，通过精巧的政策和运气，联储可以通过一系列的软着陆来让经济避免衰退。
    (奇怪的是）更低的失业率导致更高工资，因此企业有动力来投资来提高生产率，但整体上却导致企业资本利用率更低。实际上，失业率和资本闲置率在历史上是亦步亦趋的，但在1995年以后走势分化：失业率越来越低，但资本闲置率却在走高——表现为capacity utilization rate. 这不利于企业利润
  （我真的很难搞明白，为什么资本利用率越来越低，但企业投资却保持高位；盈利很低，但是却预期上市公司盈利在未来会有明显增长）
  （我再回头看了bca的1999.4/5月刊，特别是4月的专题。看起来1995-1999确实有生产率进步，但不是很高，但这一阶段叠加了margin的回升，所以企业盈利在1990-1997上升的特别快。这一部分上升是有周期因素的。但泡沫化出现在1997年以后，在那以后，margin实际上在下降，企业盈利开始走平，但股市仍在上升。
    一个很有趣的point：美股泡沫实际上是在1997年开始形成的。当时恰恰处于经济周期的小顶点，盈利margin、盈利增速都处于高位。但1998年的外部冲击反而带来了更多的货币宽松，让居民和企业乐观，股市奇迹般的从高估拉升到更加高估的水平，进而支持经济再度回升，使得盈利前景难以被短期证伪。美股forward PE是在1997年开始脱离过去的中枢的）
    GMO自己在2020Q1里说了，In early 1998 we fought the Tech bubble from 21x (equal to the previous record high
in 1929) to 35x before a 50% decline, losing many clients and then regaining even more on the round trip。纳斯达克在1998年初是1700点，在2002年二次探底时最多跌至1200-1400区间。但是要知道，纳斯达克在2000年最高点是5000点。GMO的这种投资思路，应当说是极其痛苦，非常人所能忍受）"	当前通胀低有长期因素——如科技进步，也有周期因素，如全球经济放缓。		"股市。似乎没有什么能够阻碍股市上涨。当前的增长强、通胀低是近乎完美的经济条件，而联储却采取被动姿态，这对于股市而言是绿灯。只有货币紧缩的时候，牛市才可能结束，但货币紧缩却不在眼前。然而股市依然非常危险，投资者应当谨慎。
    如果股市领头羊可以从tech转移到cyclical和small cap，那么倒可以引发新一轮的投机。To sector allocation, there is a good chance that the long neglected cyclical sectors will outperform during the remainder of the year, against a background of continued strong U.S. growth and gradually increasing confidence in the global outlook. (这个想法是很好的，但很有趣的是，后面一年还是tech的天下，反而是道琼斯被干趴下了）（还是那个逻辑，此时的科技股是泡沫，泡沫难以简单用加息干趴下，而其他股票却可以）
    中性配置债券。债券的周期背景不佳，但结构性利好因素仍在。当前债券收益率discount未来6个月ffr不动，2000年加息20bp。在经济周期回升的背景下，这个定价太自满了。

（如果是我，我会如何摆布？
    事后来看，最大的难以理解支出就是企业在不赚钱的状态下不断投资。虽然股市上涨引发经济繁荣，但这种经济繁荣并没有最终导致企业利润的上升。这并不奇怪，因为系统是自我减弱而非自我加强的，否则系统就不稳定的。实际上，股市的繁荣最终并没有导致企业盈利改善。这一点非常非常奇怪，在企业盈利一般的情况下，为什么企业又愿意投资呢？为什么股价却不断上涨呢？这一点值得仔细思考和研究。）（应该集中看一下1990s底的而企业盈利数据）（而且更加有趣的是，股价的上升没有导致发更多股票，反而对应着股票回购。这真的有趣，按照tobin‘q的理论，股票融资更加便宜，此时应该更多的股票融资才对呀。）
 （其实高盛也看到了储蓄率、企业finance的deficit，也因此预期增长会放缓，但没有想到是这种大幅波动）"
